model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
Mondeo,2018,17365,Automatic,8500,Petrol,145,37.2,1.5,Ford
C Class,2019,35250,Automatic,2001,Diesel,145,61.4,2.0,Mercedes-Benz
Mokka,2015,7667,Manual,38171,Petrol,200,43.5,1.6,Vauxhall
RS5,2019,59995,Semi-Auto,5089,Petrol,145,30.1,2.9,Audi
Yaris,2014,9440,Automatic,47352,Hybrid,0,76.3,1.5,Toyota
C Class,2012,7490,Automatic,96000,Diesel,145,55.4,2.1,Mercedes-Benz
Focus,2014,7800,Manual,51443,Diesel,0,74.3,1.5,Ford
C-MAX,2016,10650,Manual,13624,Diesel,20,68.9,1.5,Ford
B Class,2013,8899,Automatic,47000,Petrol,145,47.9,1.6,Mercedes-Benz
C Class,2015,14000,Manual,43927,Diesel,20,68.9,2.1,Mercedes-Benz
E Class,2019,33299,Semi-Auto,7550,Diesel,145,57.7,2.0,Mercedes-Benz
3 Series,2018,21980,Semi-Auto,9684,Petrol,145,48.7,2.0,BMW
A3,2017,16300,Semi-Auto,22122,Diesel,145,74.3,1.6,Audi
4 Series,2017,19970,Automatic,44558,Diesel,145,50.4,3.0,BMW
3 Series,2020,37995,Semi-Auto,1000,Diesel,145,47.9,3.0,BMW
Kuga,2017,18849,Automatic,15073,Diesel,145,54.3,2.0,Ford
Focus,2017,12790,Manual,3184,Diesel,145,74.3,1.5,Ford
5 Series,2019,26790,Semi-Auto,9535,Diesel,145,65.7,2.0,BMW
4 Series,2017,20945,Semi-Auto,34764,Diesel,145,52.3,3.0,BMW
Tiguan,2019,28591,Automatic,3000,Diesel,145,47.9,2.0,Volkswagen
Mokka X,2019,15790,Manual,8623,Diesel,145,50.4,1.6,Vauxhall
A Class,2013,12490,Semi-Auto,43507,Diesel,30,64.2,2.1,Mercedes-Benz
Mokka X,2017,10498,Manual,48708,Petrol,150,47.1,1.4,Vauxhall
Fiesta,2014,7000,Automatic,47000,Petrol,150,47.9,1.6,Ford
Auris,2016,8500,Manual,52482,Diesel,20,65.7,1.6,Toyota
Prius,2017,18490,Automatic,18460,Hybrid,0,94.1,1.8,Toyota
Focus,2011,4999,Manual,99614,Petrol,145,47.9,1.6,Ford
Auris,2018,16995,Automatic,12500,Hybrid,135,68.8,1.8,Toyota
Aygo,2017,6298,Manual,33402,Petrol,0,69.0,1.0,Toyota
Golf,2015,10698,Manual,38357,Petrol,30,53.3,1.4,Volkswagen
Corsa,2015,6250,Manual,35449,Petrol,125,54.3,1.4,Vauxhall
Aygo,2017,8495,Manual,8208,Petrol,145,68.9,1.0,Toyota
Fabia,2019,12250,Manual,5036,Petrol,145,61.4,1.0,Skoda
Insignia,2015,10699,Manual,19615,Diesel,125,60.1,2.0,Vauxhall
Aygo,2017,7698,Manual,16220,Petrol,145,68.9,1.0,Toyota
Yaris,2015,7392,Manual,25132,Petrol,0,66.0,1.0,Toyota
Astra,2019,13359,Manual,16982,Petrol,150,51.4,1.4,Vauxhall
Focus,2019,16420,Automatic,10554,Petrol,145,47.9,1.5,Ford
Aygo,2016,6720,Manual,23357,Petrol,0,69.0,1.0,Toyota
Tiguan,2017,17995,Manual,14250,Diesel,125,58.9,2.0,Volkswagen
Q5,2019,30750,Automatic,10566,Diesel,145,39.2,2.0,Audi
