model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
Tucson,2016,11900,Manual,37692,Diesel,30,61.7,1.7,Hyundai
Q2,2018,17950,Manual,8026,Petrol,145,47.1,1.0,Audi
I10,2015,5989,Manual,57781,Petrol,30,57.6,1.2,Hyundai
SLK,2001,3990,Automatic,48172,Petrol,325,30.0,2.3,Mercedes-Benz
Focus,2017,11350,Manual,11892,Petrol,145,60.1,1.0,Ford
GLA Class,2019,23995,Automatic,2648,Petrol,145,37.2,1.6,Mercedes-Benz
Kuga,2017,14750,Manual,15093,Diesel,145,64.2,1.5,Ford
X3,2009,7495,Automatic,95000,Diesel,260,42.2,2.0,BMW
Octavia,2018,13990,Semi-Auto,7005,Petrol,145,57.7,1.4,Skoda
3 Series,2015,12999,Semi-Auto,45191,Diesel,125,58.9,2.0,BMW
A3,2016,13995,Automatic,18833,Petrol,20,62.8,1.0,Audi
Golf,2017,18998,Manual,15932,Petrol,145,47.1,2.0,Volkswagen
Citigo,2015,6295,Manual,17384,Petrol,0,68.9,1.0,Skoda
Octavia,2017,11990,Manual,12007,Petrol,145,58.9,1.0,Skoda
A3,2013,12698,Manual,41442,Petrol,125,53.3,1.4,Audi
Polo,2016,9995,Manual,21595,Petrol,20,60.1,1.2,Volkswagen
RAV4,2017,14897,Manual,37100,Diesel,150,60.1,2.0,Toyota
Fiesta,2018,11000,Manual,9540,Petrol,145,65.7,1.0,Ford
Focus,2018,17495,Automatic,5300,Diesel,150,67.3,1.5,Ford
I10,2015,6899,Manual,18405,Petrol,30,57.6,1.2,Hyundai
Fiesta,2018,12000,Manual,15287,Petrol,145,58.9,1.0,Ford
Fiesta,2018,16499,Manual,12299,Petrol,145,40.3,1.5,Ford
4 Series,2019,29995,Automatic,4500,Diesel,145,58.9,2.0,BMW
Ka+,2019,12800,Manual,162,Petrol,145,43.5,1.2,Ford
Astra,2017,10165,Manual,24356,Diesel,30,67.3,1.6,Vauxhall
Q3,2019,29000,Automatic,14061,Petrol,145,31.7,2.0,Audi
CC,2016,12999,Manual,14652,Petrol,145,49.6,1.4,Volkswagen
Aygo,2019,9995,Manual,2642,Petrol,145,57.7,1.0,Toyota
Zafira Tourer,2017,11250,Manual,22688,Petrol,150,41.5,1.4,Vauxhall
1 Series,2017,19792,Automatic,15867,Diesel,145,61.4,2.0,BMW
C Class,2019,29889,Automatic,4721,Diesel,145,55.4,2.0,Mercedes-Benz
Yaris,2018,11800,Manual,6174,Petrol,145,58.9,1.5,Toyota
Q7,2019,42990,Automatic,50,Diesel,145,33.6,3.0,Audi
Mondeo,2019,19495,Manual,25,Diesel,145,65.7,2.0,Ford
Polo,2015,9599,Manual,34322,Petrol,0,65.7,1.0,Volkswagen
Golf SV,2019,19360,Semi-Auto,4401,Diesel,145,50.4,2.0,Volkswagen
E Class,2006,2995,Automatic,137827,Diesel,325,34.9,3.0,Mercedes-Benz
IX20,2015,7998,Manual,20077,Petrol,125,50.4,1.4,Hyundai
Focus,2018,12695,Manual,10908,Petrol,145,60.1,1.0,Ford
C Class,2014,14999,Automatic,42256,Diesel,20,64.2,2.1,Mercedes-Benz
Tiguan,2017,19990,Semi-Auto,24990,Diesel,150,57.6,2.0,Volkswagen
T-Roc,2018,18950,Manual,4500,Petrol,150,44.1,1.0,Volkswagen
C Class,2019,28359,Semi-Auto,6040,Petrol,145,44.1,2.0,Mercedes-Benz
A5,2016,18490,Semi-Auto,17117,Diesel,150,54.3,2.0,Audi
Golf,2017,18082,Manual,39127,Diesel,145,60.1,2.0,Volkswagen
Tiguan,2018,19201,Manual,9798,Diesel,145,58.9,2.0,Volkswagen
Octavia,2019,15795,Semi-Auto,10946,Diesel,145,70.6,1.6,Skoda
A Class,2018,17299,Semi-Auto,12450,Petrol,145,52.3,1.6,Mercedes-Benz
3 Series,2020,33995,Semi-Auto,10,Diesel,145,53.3,2.0,BMW
Q5,2019,31950,Semi-Auto,11296,Diesel,150,38.2,2.0,Audi
Golf,2020,23790,Semi-Auto,1000,Hybrid,150,44.8,1.5,Volkswagen
GLA Class,2017,21680,Semi-Auto,8650,Diesel,125,56.5,2.1,Mercedes-Benz
Corsa,2014,4965,Manual,65000,Petrol,125,51.4,1.2,Vauxhall
Fiesta,2018,14500,Manual,17626,Petrol,150,62.8,1.0,Ford
X5,2019,44850,Automatic,12000,Diesel,145,37.7,3.0,BMW
B Class,2013,12500,Semi-Auto,42050,Diesel,30,61.4,2.1,Mercedes-Benz
I10,2016,6650,Manual,13500,Petrol,20,60.1,1.0,Hyundai
E Class,2015,15998,Semi-Auto,21284,Diesel,125,61.4,2.1,Mercedes-Benz
6 Series,2020,34490,Semi-Auto,5,Petrol,145,42.8,2.0,BMW
X3,2020,47000,Semi-Auto,1385,Hybrid,135,5.5,2.0,BMW
I10,2016,6995,Manual,30456,Petrol,30,57.6,1.2,Hyundai
Fiesta,2019,9850,Manual,45275,Petrol,150,56.5,1.0,Ford
Mokka X,2017,13490,Automatic,11000,Petrol,160,43.5,1.4,Vauxhall
C Class,2016,15495,Automatic,72676,Hybrid,0,134.5,2.0,Mercedes-Benz
Golf,2019,14490,Manual,13159,Diesel,145,57.7,1.6,Volkswagen
Fiesta,2016,8998,Manual,12163,Petrol,125,54.3,1.2,Ford
X6,2020,55995,Semi-Auto,3291,Diesel,145,33.2,3.0,BMW
Q3,2016,17200,Automatic,39603,Diesel,160,50.4,2.0,Audi
5 Series,2020,36985,Semi-Auto,12,Diesel,145,56.5,3.0,BMW
A3,2016,17400,Semi-Auto,19856,Petrol,30,56.5,1.4,Audi
Golf,2014,10200,Manual,41954,Petrol,30,58.9,1.4,Volkswagen
Tucson,2017,13499,Semi-Auto,50456,Diesel,125,57.6,1.7,Hyundai
Kuga,2017,13490,Manual,28808,Diesel,145,60.1,2.0,Ford
Corsa,2017,7499,Manual,19034,Petrol,145,55.4,1.4,Vauxhall
I30,2015,6310,Manual,50700,Diesel,0,78.4,1.6,Hyundai
A3,2019,23980,Semi-Auto,4894,Diesel,145,50.4,2.0,Audi
Octavia,2019,13398,Manual,14601,Petrol,145,60.1,1.0,Skoda
B Class,2019,22499,Semi-Auto,8666,Petrol,145,45.6,1.3,Mercedes-Benz
C Class,2013,9490,Automatic,68000,Diesel,145,53.3,2.1,Mercedes-Benz
Tiguan Allspace,2019,26980,Automatic,9626,Diesel,145,39.2,2.0,Volkswagen
Q3,2015,15800,Manual,16375,Diesel,125,60.1,2.0,Audi
5 Series,2019,26350,Semi-Auto,9334,Diesel,145,65.7,2.0,BMW
I10,2018,8500,Manual,9031,Petrol,150,57.7,1.2,Hyundai
Polo,2019,12471,Manual,14991,Petrol,145,48.7,1.0,Volkswagen
1 Series,2020,32495,Automatic,10,Diesel,145,48.7,2.0,BMW
Corolla,2019,22250,Automatic,10932,Hybrid,135,78.5,1.8,Toyota
E Class,2019,42599,Automatic,1000,Diesel,145,42.8,3.0,Mercedes-Benz
2 Series,2015,10295,Manual,102900,Diesel,30,64.2,2.0,BMW
2 Series,2019,20450,Semi-Auto,7404,Petrol,145,53.3,1.5,BMW
Zafira,2017,10995,Manual,50500,Diesel,145,62.8,1.6,Vauxhall
Fiesta,2013,7699,Manual,49549,Petrol,0,65.7,1.0,Ford
4 Series,2016,17995,Semi-Auto,24709,Diesel,30,65.7,2.0,BMW
Fabia,2017,9295,Manual,4531,Petrol,145,64.2,1.0,Skoda
Kodiaq,2019,21790,Automatic,4744,Petrol,145,34.0,1.5,Skoda
Q3,2019,32950,Automatic,1000,Petrol,145,32.1,2.0,Audi
5 Series,2019,25980,Semi-Auto,9630,Petrol,145,50.4,2.0,BMW
Rapid,2014,5990,Manual,59682,Diesel,20,72.4,1.6,Skoda
Up,2015,6298,Manual,19367,Petrol,20,62.8,1.0,Volkswagen
Mokka,2013,7971,Manual,34344,Diesel,125,57.6,1.7,Vauxhall
C Class,2019,33980,Semi-Auto,9,Diesel,145,57.7,2.0,Mercedes-Benz
Golf,2019,22990,Semi-Auto,2926,Petrol,145,43.5,1.5,Volkswagen
Tiguan,2017,16790,Manual,31805,Diesel,150,58.9,2.0,Volkswagen
Golf,2016,12360,Manual,13570,Petrol,30,53.3,1.4,Volkswagen
Touareg,2020,44990,Semi-Auto,6000,Diesel,145,34.0,3.0,Volkswagen
2 Series,2016,11850,Manual,42281,Diesel,20,68.9,2.0,BMW
Q3,2019,31516,Automatic,9589,Petrol,145,32.1,2.0,Audi
4 Series,2016,16099,Manual,37683,Diesel,30,62.8,2.0,BMW
Fiesta,2017,9499,Manual,17378,Petrol,145,65.7,1.0,Ford
Yaris,2019,12898,Manual,3120,Petrol,150,47.9,1.5,Toyota
Fiesta,2017,9495,Manual,8855,Petrol,150,64.2,1.1,Ford
E Class,2017,18660,Semi-Auto,30007,Diesel,145,72.4,2.0,Mercedes-Benz
Fiesta,2017,9597,Manual,19611,Petrol,0,65.7,1.0,Ford
S-MAX,2017,14998,Manual,46362,Diesel,125,56.5,2.0,Ford
A Class,2019,19649,Semi-Auto,9153,Diesel,145,68.9,1.5,Mercedes-Benz
Q7,2019,48266,Automatic,7511,Diesel,145,32.8,3.0,Audi
Golf,2019,18798,Semi-Auto,7324,Diesel,145,52.3,2.0,Volkswagen
M4,2017,36820,Semi-Auto,27806,Petrol,145,34.0,3.0,BMW
Tiguan,2020,28500,Semi-Auto,6000,Diesel,145,31.4,2.0,Volkswagen
IX35,2010,9495,Manual,16500,Diesel,190,48.7,2.0,Hyundai
Crossland X,2019,15600,Manual,1880,Diesel,145,60.1,1.5,Vauxhall
3 Series,2016,13100,Manual,47821,Diesel,30,64.2,2.0,BMW
Astra,2011,3399,Manual,58000,Petrol,160,45.6,1.6,Vauxhall
A Class,2018,19549,Automatic,12194,Petrol,145,28.5,1.3,Mercedes-Benz
Yeti,2014,8995,Manual,39407,Diesel,150,55.4,2.0,Skoda
Superb,2019,21645,Manual,2783,Petrol,145,40.9,1.5,Skoda
Mondeo,2013,6399,Manual,43441,Diesel,125,57.7,2.0,Ford
EcoSport,2018,12770,Manual,12000,Petrol,145,53.3,1.0,Ford
Kuga,2017,16800,Manual,8511,Diesel,125,60.1,2.0,Ford
C Class,2019,34449,Semi-Auto,4070,Diesel,145,54.3,2.0,Mercedes-Benz
Fiesta,2018,11795,Manual,8015,Petrol,150,56.5,1.0,Ford
Fabia,2019,12300,Manual,3342,Petrol,145,51.4,1.0,Skoda
3 Series,2019,31390,Semi-Auto,3097,Petrol,145,41.5,2.0,BMW
GL Class,2007,7340,Automatic,104000,Diesel,570,28.8,3.0,Mercedes-Benz
GT86,2017,17498,Manual,36284,Petrol,145,36.2,2.0,Toyota
Focus,2003,1695,Manual,89630,Petrol,200,40.9,1.6,Ford
EcoSport,2018,13995,Manual,9720,Diesel,145,58.9,1.5,Ford
Zafira,2016,12422,Manual,13857,Diesel,30,62.8,1.6,Vauxhall
A1,2013,7598,Manual,81012,Diesel,20,68.9,2.0,Audi
Yaris,2018,10550,Manual,19377,Petrol,145,47.1,1.5,Toyota
GLA Class,2017,19799,Semi-Auto,9186,Diesel,150,56.5,2.1,Mercedes-Benz
1 Series,2017,19548,Manual,20485,Petrol,145,36.2,3.0,BMW
Corolla,2019,17865,Manual,17197,Petrol,145,39.2,1.2,Toyota
RAV4,2016,14010,Manual,47000,Diesel,125,60.1,2.0,Toyota
Polo,2020,17999,Semi-Auto,1452,Petrol,145,45.6,1.0,Volkswagen
3 Series,2019,36531,Semi-Auto,6850,Petrol,145,40.4,2.0,BMW
Mokka X,2018,11990,Manual,9000,Petrol,145,39.2,1.4,Vauxhall
A Class,2017,17600,Manual,12343,Diesel,145,68.9,1.5,Mercedes-Benz
Amarok,2017,23990,Automatic,51214,Diesel,260,36.2,3.0,Volkswagen
Focus,2018,13489,Semi-Auto,3549,Diesel,150,74.3,1.5,Ford
Santa Fe,2014,14995,Semi-Auto,48900,Diesel,260,41.5,2.2,Hyundai
Up,2014,5999,Manual,27290,Petrol,20,62.8,1.0,Volkswagen
A3,2014,11990,Manual,47000,Diesel,20,67.3,2.0,Audi
Polo,2017,9698,Manual,11728,Petrol,145,60.1,1.0,Volkswagen
Focus,2019,17999,Automatic,95,Petrol,145,48.7,1.0,Ford
Galaxy,2018,17900,Manual,19033,Diesel,145,56.5,2.0,Ford
Kuga,2017,14000,Manual,28964,Diesel,125,60.1,2.0,Ford
Fabia,2017,8995,Manual,17943,Petrol,145,64.2,1.0,Skoda
Tiguan,2019,25995,Semi-Auto,33033,Diesel,145,39.8,2.0,Volkswagen
GL Class,2015,15799,Automatic,27713,Diesel,20,67.3,2.1,Mercedes-Benz
Fiesta,2019,13998,Manual,13024,Petrol,145,58.9,1.0,Ford
3 Series,2019,32990,Semi-Auto,4327,Diesel,145,49.6,2.0,BMW
Fiesta,2018,12899,Manual,10591,Petrol,145,58.9,1.0,Ford
Astra,2017,9000,Manual,36848,Petrol,145,52.3,1.4,Vauxhall
GLA Class,2017,20662,Automatic,32722,Diesel,145,56.5,2.1,Mercedes-Benz
Kuga,2018,17998,Manual,12305,Petrol,150,45.6,1.5,Ford
Fabia,2019,9950,Manual,1200,Petrol,145,47.9,1.0,Skoda
Mokka,2018,13500,Manual,20961,Petrol,145,36.7,1.4,Vauxhall
C-HR,2017,19965,Automatic,18000,Hybrid,0,74.3,1.8,Toyota
Fiesta,2019,13999,Manual,16342,Petrol,150,58.9,1.0,Ford
A1,2015,10598,Manual,21438,Petrol,125,52.3,1.4,Audi
Octavia,2019,18495,Automatic,1800,Petrol,145,44.8,1.5,Skoda
Fiesta,2017,13300,Manual,15067,Petrol,150,47.9,1.6,Ford
1 Series,2014,8490,Manual,59000,Diesel,30,65.7,2.0,BMW
Aygo,2018,8795,Manual,9500,Petrol,145,56.5,1.0,Toyota
Citigo,2017,5990,Manual,35085,Petrol,20,64.2,1.0,Skoda
Aygo,2014,5800,Manual,39715,Petrol,0,69.0,1.0,Toyota
X3,2016,20931,Semi-Auto,38489,Diesel,145,54.3,2.0,BMW
Fiesta,2016,8800,Manual,8399,Petrol,0,65.7,1.0,Ford
E Class,2017,17999,Automatic,41105,Diesel,145,72.4,2.0,Mercedes-Benz
Passat,2016,9440,Manual,63970,Diesel,20,68.9,1.6,Volkswagen
Tucson,2017,10990,Manual,43564,Diesel,30,61.7,1.7,Hyundai
2 Series,2014,17998,Semi-Auto,17787,Petrol,260,37.2,3.0,BMW
C Class,2014,9000,Manual,52000,Diesel,20,64.2,2.1,Mercedes-Benz
Tucson,2016,11750,Manual,38000,Diesel,30,61.7,1.7,Hyundai
Mokka X,2019,14390,Manual,8307,Petrol,145,39.2,1.4,Vauxhall
Karoq,2019,25390,Automatic,5347,Petrol,145,33.2,2.0,Skoda
Q3,2017,24790,Automatic,14059,Petrol,150,40.4,2.0,Audi
Yaris,2013,5995,Manual,44797,Petrol,125,51.4,1.3,Toyota
Ka+,2019,9291,Manual,2209,Petrol,150,48.7,1.2,Ford
Golf,2014,10490,Manual,76000,Diesel,20,67.3,2.0,Volkswagen
GLC Class,2019,35980,Semi-Auto,16,Diesel,145,44.8,2.0,Mercedes-Benz
3 Series,2013,11430,Semi-Auto,36578,Petrol,160,44.8,2.0,BMW
Focus,2008,2375,Manual,89000,Petrol,205,42.2,1.6,Ford
2 Series,2017,17858,Automatic,28561,Hybrid,0,135.5,1.5,BMW
A3,2019,33500,Automatic,9784,Petrol,145,33.2,2.0,Audi
Yaris,2019,12450,Manual,6271,Petrol,145,47.9,1.5,Toyota
A6,2020,42500,Semi-Auto,3000,Diesel,145,37.7,3.0,Audi
Golf,2016,13489,Manual,19768,Diesel,0,74.3,1.6,Volkswagen
Shuttle,2019,23489,Manual,925,Diesel,145,37.7,2.0,Volkswagen
5 Series,2019,30000,Automatic,16267,Hybrid,140,156.9,2.0,BMW
Fiesta,2017,7999,Manual,14748,Petrol,125,54.3,1.2,Ford
Fiesta,2017,9290,Manual,13449,Petrol,145,54.3,1.2,Ford
Zafira,2016,10227,Manual,16088,Petrol,200,42.2,1.4,Vauxhall
Auris,2016,13499,Automatic,71329,Hybrid,0,70.6,1.8,Toyota
Mokka X,2016,12650,Semi-Auto,16220,Petrol,160,43.5,1.4,Vauxhall
S Class,2019,55890,Semi-Auto,3380,Diesel,145,52.3,3.0,Mercedes-Benz
Corsa,2019,9685,Manual,5993,Petrol,145,43.5,1.4,Vauxhall
Tiguan,2019,33990,Manual,6000,Diesel,145,42.8,2.0,Volkswagen
CLA Class,2020,29498,Automatic,1000,Petrol,145,44.8,1.3,Mercedes-Benz
S-MAX,2017,16900,Manual,34314,Diesel,145,56.5,2.0,Ford
Focus,2018,13997,Manual,12655,Petrol,145,57.7,1.0,Ford
Mokka,2014,7599,Manual,46890,Petrol,205,43.5,1.6,Vauxhall
IX35,2015,10000,Automatic,51500,Diesel,260,41.5,2.0,Hyundai
Corsa,2017,8995,Manual,13000,Petrol,30,54.3,1.4,Vauxhall
Tiguan,2017,18490,Semi-Auto,33211,Diesel,150,57.6,2.0,Volkswagen
X3,2017,24991,Semi-Auto,27125,Diesel,150,54.3,2.0,BMW
Fiesta,2013,4000,Manual,111530,Petrol,0,65.7,1.0,Ford
Hilux,2019,23600,Manual,19211,Diesel,260,40.4,2.4,Toyota
Yaris,2017,12998,Automatic,7768,Hybrid,140,76.3,1.5,Toyota
Fabia,2017,6595,Manual,47400,Petrol,20,60.1,1.2,Skoda
A Class,2016,14990,Manual,39473,Diesel,30,62.8,2.1,Mercedes-Benz
C Class,2016,18790,Semi-Auto,25250,Hybrid,0,134.5,2.0,Mercedes-Benz
Tourneo Connect,2016,12298,Automatic,43812,Diesel,125,56.6,1.5,Ford
T-Roc,2019,20891,Manual,4489,Diesel,145,50.4,1.6,Volkswagen
A3,2019,24500,Manual,2214,Diesel,145,51.4,1.6,Audi
7 Series,2017,30850,Automatic,19812,Diesel,145,53.3,3.0,BMW
Fiesta,2018,10298,Manual,11552,Petrol,150,55.4,1.1,Ford
7 Series,2017,25599,Automatic,25014,Diesel,145,57.6,3.0,BMW
Astra,2014,6994,Manual,48492,Petrol,160,47.1,1.4,Vauxhall
GLC Class,2016,29221,Semi-Auto,20296,Diesel,150,56.5,2.1,Mercedes-Benz
Mondeo,2019,19500,Manual,53,Diesel,145,65.7,2.0,Ford
1 Series,2016,15998,Semi-Auto,21914,Diesel,30,65.7,2.0,BMW
Santa Fe,2016,19000,Semi-Auto,32223,Diesel,240,42.2,2.2,Hyundai
Fiesta,2015,6300,Manual,29423,Petrol,125,54.3,1.2,Ford
Insignia,2015,9600,Manual,23153,Diesel,20,72.4,1.6,Vauxhall
Mokka X,2019,14499,Semi-Auto,9000,Petrol,145,37.2,1.4,Vauxhall
A3,2019,22967,Manual,6000,Petrol,145,43.5,1.5,Audi
Mokka X,2019,13995,Manual,9702,Petrol,145,39.2,1.4,Vauxhall
Kona,2019,14495,Manual,4000,Petrol,145,44.1,1.0,Hyundai
i3,2015,15498,Automatic,33931,Hybrid,0,470.8,0.0,BMW
EcoSport,2019,16399,Manual,3419,Petrol,145,52.3,1.0,Ford
Tucson,2017,13100,Manual,21119,Diesel,30,61.7,1.7,Hyundai
Fiesta,2016,8498,Manual,7519,Petrol,125,54.3,1.2,Ford
Focus,2018,17750,Manual,9836,Diesel,145,67.3,2.0,Ford
Mokka,2014,7489,Manual,41002,Petrol,200,43.5,1.6,Vauxhall
C Class,2016,11300,Manual,49604,Petrol,125,51.4,2.0,Mercedes-Benz
B Class,2019,21999,Manual,8288,Petrol,145,45.6,1.3,Mercedes-Benz
Q5,2019,34998,Semi-Auto,19,Petrol,150,32.1,2.0,Audi
Up,2016,7465,Manual,26156,Petrol,20,61.4,1.0,Volkswagen
Kodiaq,2019,30995,Manual,11,Diesel,145,52.3,2.0,Skoda
Yaris,2017,8588,Manual,29255,Petrol,30,58.0,1.3,Toyota
Golf,2019,18849,Semi-Auto,4600,Petrol,150,47.1,1.5,Volkswagen
Astra,2018,9999,Manual,14567,Petrol,145,64.2,1.0,Vauxhall
Zafira,2016,8490,Manual,48000,Diesel,30,62.7,1.6,Vauxhall
T-Cross,2019,20489,Automatic,3800,Diesel,150,51.4,1.6,Volkswagen
X2,2019,29990,Semi-Auto,4137,Petrol,145,39.2,2.0,BMW
B-MAX,2013,6700,Manual,15897,Petrol,145,47.1,1.4,Ford
Mokka X,2019,12200,Manual,16703,Petrol,145,39.2,1.4,Vauxhall
Golf,2017,11995,Manual,38225,Diesel,0,74.3,1.6,Volkswagen
Astra,2018,11995,Manual,4900,Petrol,145,62.8,1.0,Vauxhall
A3,2019,22490,Manual,4094,Petrol,150,42.8,1.5,Audi
Focus,2017,11000,Manual,28840,Petrol,20,60.1,1.0,Ford
I10,2016,5500,Manual,43778,Petrol,20,60.1,1.0,Hyundai
I30,2017,9499,Manual,34817,Diesel,145,74.3,1.6,Hyundai
A6,2019,36990,Automatic,6508,Diesel,145,39.2,3.0,Audi
GLA Class,2016,19849,Semi-Auto,24463,Diesel,125,56.5,2.1,Mercedes-Benz
Polo,2016,9991,Manual,5440,Petrol,20,60.1,1.0,Volkswagen
A1,2014,8950,Manual,47050,Petrol,125,53.3,1.4,Audi
Up,2017,8499,Manual,24388,Petrol,20,64.2,1.0,Volkswagen
GLB Class,2020,39480,Semi-Auto,29,Diesel,145,46.3,2.0,Mercedes-Benz
Fiesta,2018,12000,Manual,7760,Petrol,145,65.7,1.0,Ford
C Class,2019,26495,Automatic,2999,Petrol,145,46.3,1.5,Mercedes-Benz
Astra,2016,10955,Manual,24519,Petrol,20,64.2,1.0,Vauxhall
Yeti Outdoor,2017,12490,Manual,24332,Petrol,150,51.4,1.2,Skoda
Focus,2019,15980,Manual,13999,Petrol,145,58.9,1.0,Ford
Santa Fe,2020,36495,Semi-Auto,6073,Diesel,145,39.2,2.2,Hyundai
Mokka X,2019,12298,Manual,6469,Petrol,150,39.2,1.4,Vauxhall
Polo,2016,7740,Manual,69548,Petrol,20,60.1,1.2,Volkswagen
Fabia,2019,13876,Manual,2500,Petrol,145,60.1,1.0,Skoda
GLC Class,2016,24950,Semi-Auto,29190,Diesel,125,56.5,2.1,Mercedes-Benz
B Class,2019,26699,Automatic,1915,Diesel,145,55.4,2.0,Mercedes-Benz
Golf,2015,7475,Manual,66813,Diesel,0,88.3,1.6,Volkswagen
GLA Class,2020,22980,Semi-Auto,1989,Petrol,145,44.8,1.6,Mercedes-Benz
Superb,2016,16790,Semi-Auto,28600,Diesel,30,62.8,2.0,Skoda
Tiguan,2019,32998,Semi-Auto,10,Diesel,150,35.3,2.0,Volkswagen
Focus,2019,15990,Manual,8276,Petrol,150,60.1,1.0,Ford
A3,2017,26000,Automatic,25212,Petrol,205,43.5,2.0,Audi
Santa Fe,2015,14990,Automatic,54000,Diesel,260,42.2,2.2,Hyundai
Passat,2019,31450,Automatic,7000,Diesel,145,44.1,2.0,Volkswagen
I20,2016,7340,Manual,47257,Petrol,0,65.7,1.0,Hyundai
C-MAX,2017,11499,Manual,1217,Petrol,150,55.4,1.0,Ford
Q5,2017,37980,Semi-Auto,16855,Petrol,150,34.0,3.0,Audi
Grand C-MAX,2015,8540,Manual,44142,Diesel,125,60.1,1.6,Ford
Q3,2016,17498,Manual,19268,Diesel,30,60.1,2.0,Audi
Q2,2017,19560,Manual,10160,Petrol,125,50.4,1.4,Audi
Corsa,2019,8530,Manual,8338,Petrol,145,43.5,1.4,Vauxhall
Zafira,2017,9489,Manual,49958,Petrol,205,42.2,1.4,Vauxhall
Insignia,2019,19495,Manual,5000,Diesel,145,49.6,2.0,Vauxhall
C Class,2018,19000,Automatic,23280,Petrol,150,48.7,2.0,Mercedes-Benz
Yaris,2014,8500,Automatic,72053,Hybrid,0,76.3,1.5,Toyota
A Class,2019,24439,Semi-Auto,1000,Diesel,145,62.8,1.5,Mercedes-Benz
Corsa,2017,7099,Manual,32000,Petrol,30,55.4,1.4,Vauxhall
Crossland X,2019,12798,Manual,12409,Petrol,145,44.8,1.2,Vauxhall
Corsa,2019,8810,Manual,6195,Petrol,145,43.5,1.4,Vauxhall
A6,2015,18998,Semi-Auto,49039,Diesel,160,50.4,3.0,Audi
A6,2019,29995,Semi-Auto,8598,Diesel,145,47.9,2.0,Audi
Adam,2017,6795,Manual,37464,Petrol,150,52.3,1.4,Vauxhall
A6,2019,26490,Semi-Auto,8000,Diesel,145,50.4,2.0,Audi
Fiesta,2015,8499,Manual,9264,Petrol,0,65.7,1.0,Ford
Fiesta,2018,10600,Manual,21090,Petrol,145,56.5,1.0,Ford
Corsa,2015,5295,Manual,65696,Petrol,30,55.4,1.4,Vauxhall
Corsa,2018,7999,Manual,5305,Petrol,145,55.4,1.4,Vauxhall
Mokka,2016,8998,Manual,33850,Petrol,160,44.8,1.4,Vauxhall
GLA Class,2017,20149,Semi-Auto,13108,Diesel,145,64.2,2.1,Mercedes-Benz
Kodiaq,2019,36995,Automatic,2261,Diesel,145,35.3,2.0,Skoda
Astra,2016,8499,Manual,26681,Petrol,125,52.3,1.4,Vauxhall
Ioniq,2018,16498,Automatic,16046,Hybrid,135,78.5,1.6,Hyundai
I40,2016,11151,Semi-Auto,25881,Diesel,125,56.5,1.7,Hyundai
Focus,2017,11001,Manual,26240,Petrol,145,60.1,1.0,Ford
Corsa,2018,8099,Manual,17267,Petrol,145,55.4,1.4,Vauxhall
Astra,2018,9948,Manual,12846,Petrol,150,64.2,1.0,Vauxhall
A Class,2019,24711,Semi-Auto,3653,Petrol,150,53.3,1.3,Mercedes-Benz
A Class,2016,13900,Manual,47275,Petrol,125,51.4,1.6,Mercedes-Benz
GLC Class,2020,44950,Automatic,4000,Diesel,145,40.9,2.0,Mercedes-Benz
Mokka,2016,9395,Manual,28194,Petrol,160,44.8,1.4,Vauxhall
A1,2018,16295,Manual,10340,Petrol,150,55.4,1.4,Audi
T-Roc,2018,22790,Automatic,27000,Petrol,145,41.5,2.0,Volkswagen
E Class,2019,27300,Automatic,811,Diesel,145,65.7,2.0,Mercedes-Benz
5 Series,2019,29998,Semi-Auto,5000,Diesel,145,62.8,2.0,BMW
Corsa,2016,6799,Manual,24597,Petrol,30,55.4,1.4,Vauxhall
Q2,2017,20495,Semi-Auto,24423,Petrol,150,52.3,1.4,Audi
3 Series,2015,14199,Automatic,62051,Diesel,145,56.5,3.0,BMW
Corsa,2013,4825,Manual,75529,Petrol,125,51.4,1.4,Vauxhall
Fiesta,2017,8900,Manual,17342,Petrol,125,54.3,1.2,Ford
Corsa,2016,9495,Automatic,23047,Petrol,145,47.9,1.4,Vauxhall
A8,2020,78990,Automatic,250,Diesel,145,39.2,3.0,Audi
KA,2015,4995,Manual,17041,Petrol,30,57.7,1.2,Ford
Focus,2016,8999,Manual,46101,Diesel,0,74.3,1.5,Ford
T-Cross,2020,20299,Manual,1910,Petrol,145,48.7,1.0,Volkswagen
Corsa,2017,10399,Manual,14709,Petrol,145,37.7,1.6,Vauxhall
A Class,2014,11040,Semi-Auto,31905,Diesel,20,70.6,1.5,Mercedes-Benz
1 Series,2019,18995,Semi-Auto,5250,Petrol,145,55.5,1.5,BMW
Q3,2019,27190,Manual,3555,Diesel,145,42.8,2.0,Audi
3 Series,2019,26498,Semi-Auto,17794,Diesel,145,48.7,2.0,BMW
X2,2019,31310,Semi-Auto,4890,Diesel,145,58.9,2.0,BMW
Astra,2017,9188,Manual,24085,Petrol,125,51.4,1.4,Vauxhall
A4,2019,22690,Manual,6995,Petrol,145,39.2,2.0,Audi
4 Series,2019,24450,Semi-Auto,10831,Diesel,145,65.7,2.0,BMW
A1,2016,11673,Manual,36942,Petrol,30,55.4,1.4,Audi
Astra,2016,8120,Manual,56267,Diesel,20,72.4,1.6,Vauxhall
Fiesta,2018,9995,Manual,14368,Petrol,145,64.2,1.1,Ford
